power_x,power_y,power_z,power_total_xyz
2.95674886992304e-05,2.44967244264729e-05,0.000162304102280811,0.000216368315406515
4.35016270608985e-06,1.45945680760091e-06,2.02653632650688e-06,7.83615584019764e-06
4.18764574615025e-06,1.41098236569843e-06,1.80578336841389e-06,7.40441148026256e-06
4.38962898503547e-06,1.56668814018354e-06,2.18551154899498e-06,8.14182867421399e-06
4.22776787690206e-06,1.38410018176294e-06,1.87408341663156e-06,7.48595147529656e-06
4.68768225169704e-06,1.85770364282785e-06,2.31834344048802e-06,8.86372933501291e-06
4.03900255137899e-06,1.37458532041883e-06,1.70099007475951e-06,7.11457794655733e-06
4.00204246803198e-06,1.34179581641919e-06,1.71286007170119e-06,7.05669835615237e-06
4.15542227642065e-06,1.39426950988717e-06,1.71228346142415e-06,7.26197524773197e-06
4.16603557225834e-06,1.33936409925174e-06,1.73368264357142e-06,7.2390823150815e-06
4.16529808972619e-06,1.34156101195441e-06,1.61225243514049e-06,7.11911153682109e-06
4.4497992727609e-06,1.37134394509455e-06,1.86886757600408e-06,7.69001079385954e-06
4.25555274041922e-06,1.36948560952626e-06,1.65433156493054e-06,7.27936991487603e-06
4.0698772132429e-06,1.33923053235045e-06,1.53932122517186e-06,6.94842897076521e-06
4.25370440314902e-06,1.3969078592213e-06,1.607923678125e-06,7.25853594049532e-06
4.53064121362202e-06,1.60070749611131e-06,1.80251008595824e-06,7.93385879569157e-06
5.93332950180572e-06,1.98408715305119e-06,4.93573547535423e-06,1.28531521302111e-05
4.12212307286336e-06,1.39600605820035e-06,1.691142205037e-06,7.20927133610072e-06
4.11685781793626e-06,1.36393455035067e-06,1.67318590369453e-06,7.15397827198145e-06
4.10481432134125e-06,1.38481624430172e-06,1.74681549845299e-06,7.23644606409597e-06
4.04663306452947e-06,1.34435008828402e-06,1.69131667574222e-06,7.08229982855572e-06
4.13388680438617e-06,1.38135371203587e-06,1.56065986390353e-06,7.07590038032557e-06
4.0634336079104e-06,1.37560193620051e-06,1.70392679842832e-06,7.14296234253924e-06
3.98253249368541e-06,1.35256051397928e-06,1.61295655403447e-06,6.94804956169915e-06
4.00293626376446e-06,1.38302933442444e-06,1.70664113558035e-06,7.09260673376924e-06
4.28381046456819e-06,1.41128207950956e-06,1.76344535820484e-06,7.45853790228259e-06
4.11368833557337e-06,1.35057604399585e-06,1.64676129068657e-06,7.11102567025579e-06
4.24778696963038e-06,1.40458789083539e-06,1.63505230176292e-06,7.28742716222869e-06
4.13286678989297e-06,1.38024204999588e-06,1.59054971546541e-06,7.10365855535426e-06
4.34005753468504e-06,1.45124304083333e-06,1.88140450060727e-06,7.67270507612564e-06
