power_x,power_y,power_z,power_total_xyz
8.63357780471036e-05,4.25346009313437e-05,0.000137017280421433,0.000265887659399881
1.76266676903731e-05,1.96728698312636e-05,4.37040305653205e-05,8.10035680869571e-05
5.03835516227582e-06,2.03938142785815e-06,2.4176134692791e-06,9.49535005941306e-06
4.08501191796063e-06,1.73473285401554e-06,1.82382754384581e-06,7.64357231582198e-06
4.33849088215692e-06,1.72956212083873e-06,1.86460871125131e-06,7.93266171424695e-06
4.30224919268011e-06,1.61041134661324e-06,1.71159137344675e-06,7.62425191274009e-06
4.38992796767421e-06,1.62701754003207e-06,1.72629743126619e-06,7.74324293897247e-06
9.2014044129021e-06,6.92479671764571e-06,1.08457656763156e-05,2.69719668068634e-05
1.08817473636814e-05,1.15207762429327e-05,1.3116074621497e-05,3.55185982281111e-05
1.54071149659964e-05,1.18164008572588e-05,2.30612641289413e-05,5.02847799521965e-05
4.66191064507472e-06,1.93511902503987e-06,2.45223684899414e-06,9.04926651910873e-06
6.60446112618184e-06,2.61415360585709e-06,3.51398972232465e-06,1.27326044543636e-05
4.94586505327108e-06,2.23832399740016e-06,2.43604371354162e-06,9.62023276421286e-06
7.52166529725719e-06,3.65171574101318e-06,5.18338239312338e-06,1.63567634313937e-05
4.93279769637118e-06,2.38276115055284e-06,2.58561013182174e-06,9.90116897874575e-06
8.34254109031711e-06,4.95816776847898e-06,6.2187961364807e-06,1.95195049952768e-05
4.54278937400848e-06,1.77762833711127e-06,1.95511253623913e-06,8.27553024735887e-06
2.4995386025877e-05,1.45141702220352e-05,3.89223102364297e-05,7.84318664843419e-05
6.39063841397428e-06,7.61380745232012e-06,1.00464632733072e-05,2.40509091396016e-05
1.29374349021194e-05,8.28863739067931e-06,1.44115068037464e-05,3.56375790965452e-05
1.10623771484657e-05,7.54041641538116e-06,1.11207569441096e-05,2.97235505079565e-05
4.99105961317044e-06,2.29991271693489e-06,2.99845420331622e-06,1.02894265334215e-05
4.33620367671247e-06,1.7017014847074e-06,2.13042930378365e-06,8.16833446520352e-06
4.84396773344366e-06,2.15806639951101e-06,3.15528680836654e-06,1.01573209413212e-05
5.43689168032015e-06,2.8034020766941e-06,3.26583875718655e-06,1.15061325142008e-05
4.33112276524702e-06,1.74170876663601e-06,2.10442696232848e-06,8.17725849421151e-06
4.35850734352004e-06,1.78916346126653e-06,2.02746726823881e-06,8.17513807302538e-06
4.31801997861382e-06,1.85961305484014e-06,2.04317873065129e-06,8.22081176410525e-06
4.19817375093998e-06,1.69258310873879e-06,1.89630034928088e-06,7.78705720895965e-06
4.43261176498992e-06,1.76319247218049e-06,2.03226081290099e-06,8.2280650500714e-06
