power_x,power_y,power_z,power_total_xyz
3.81466934681681e-05,0.000381900107454056,2.83186478293807e-05,0.000448365448751605
9.74300600751376e-07,5.03346863109858e-06,8.0721762245068e-06,1.40799454563568e-05
9.45328539734396e-07,4.75662345386282e-06,7.73583972525366e-06,1.34377917188509e-05
1.01242946213844e-06,5.77484017234397e-06,9.18058161850407e-06,1.59678512529865e-05
9.38358896603898e-07,4.42125915862348e-06,7.65586796630461e-06,1.3015486021532e-05
1.00878436260429e-06,4.85946970742395e-06,8.66573143687631e-06,1.45339855069045e-05
8.86760470156514e-07,4.09902791552854e-06,7.80096633316712e-06,1.27867547188522e-05
9.23073265607447e-07,4.43516547992919e-06,8.86107667588353e-06,1.42193154214202e-05
1.00277572445042e-06,4.32421195614931e-06,7.86109763416071e-06,1.31880853147604e-05
8.8442362497624e-07,4.17634038733921e-06,7.59762336302689e-06,1.26583873753423e-05
9.54814426591039e-07,4.38889695108074e-06,7.48550486396704e-06,1.28292162416388e-05
9.68594839825868e-07,4.14864735079577e-06,7.42523259748281e-06,1.25424747881044e-05
9.68166432675961e-07,4.39057820914154e-06,7.78971047983114e-06,1.31484551216486e-05
9.10973088184872e-07,4.01347231785822e-06,7.10807568685725e-06,1.20325210929003e-05
9.66968455043924e-07,4.45306793231193e-06,8.21845472868097e-06,1.36384911160368e-05
1.07334905758235e-06,6.40982891138415e-06,1.34854823153867e-05,2.09686602843532e-05
1.16246733104314e-06,5.43663343499936e-06,1.25078418234995e-05,1.9106942589542e-05
1.10317141803146e-06,3.9564794949551e-06,8.11356528156324e-06,1.31732161945498e-05
1.13784146800813e-06,4.02941560743785e-06,8.29138609420849e-06,1.34586431696545e-05
1.01833327895711e-06,3.85432680627717e-06,7.40687589869284e-06,1.22795359839271e-05
9.79918951590289e-07,3.64972614256576e-06,7.17513394208169e-06,1.18047790362377e-05
9.51519001660481e-07,3.60985247425403e-06,6.40159543186342e-06,1.09629669077779e-05
1.09725290054578e-06,3.9800306671409e-06,7.07657944662437e-06,1.21538630143111e-05
9.70626350443559e-07,3.56663770471304e-06,6.88655537972207e-06,1.14238194348787e-05
1.1214263147492e-06,3.69426153875043e-06,7.30526839621824e-06,1.21209562497179e-05
1.03979807289598e-06,3.90878575436503e-06,7.38783054813172e-06,1.23364143753927e-05
1.03872865436433e-06,3.81828156746794e-06,7.09263316394755e-06,1.19496433857798e-05
1.04921663267416e-06,3.74213571967908e-06,6.90963601598213e-06,1.17009883683354e-05
1.0240834017689e-06,3.50749575086193e-06,6.74015937747768e-06,1.12717385301085e-05
1.02059850045665e-06,3.7540163235126e-06,6.61461651896372e-06,1.1389231342933e-05
