power_x,power_y,power_z,power_total_xyz
3.90294186613971e-05,0.0004357459607723,0.000119648400400216,0.000594423779833913
6.72493405974796e-06,1.06139455892736e-05,1.19599284601666e-05,2.92988081091882e-05
3.2785101935022e-06,6.51674295086171e-06,9.48829638678221e-06,1.92835495311461e-05
3.67748058599205e-06,5.84948133924943e-06,8.82369779469153e-06,1.8350659719933e-05
2.90957524335531e-06,5.55577186451152e-06,8.492418981409e-06,1.69577660892758e-05
1.98593704717579e-06,5.62940612048569e-06,8.49385647029957e-06,1.6109199637961e-05
4.25420928254544e-06,7.0006095567423e-06,1.0495432267052e-05,2.17502511063398e-05
2.9152107392131e-06,5.64850055359369e-06,8.24898125902438e-06,1.68126925518312e-05
4.00645961724325e-06,7.56423396006794e-06,9.3550134231129e-06,2.09257070004241e-05
3.22728510342158e-06,5.63633673207444e-06,8.04440672773379e-06,1.69080285632298e-05
5.15438067056977e-06,9.93730301390745e-06,9.90803740042518e-06,2.49997210849024e-05
1.99708905269447e-06,5.00506389252028e-06,7.51136075268766e-06,1.45135136979024e-05
2.07481745005325e-06,5.39269115384551e-06,8.2754322314846e-06,1.57429408353834e-05
2.68345794959483e-06,6.01651075781801e-06,9.07219316428044e-06,1.77721618716933e-05
2.27061556260404e-06,6.07383522288751e-06,9.9798652520175e-06,1.8324316037509e-05
2.92553813176391e-06,5.17533895439823e-06,8.37379122322012e-06,1.64746683093823e-05
1.9535090010625e-06,5.58170197521356e-06,8.47916618771366e-06,1.60143771639897e-05
2.23849919809839e-06,5.2769945795915e-06,8.73404172764563e-06,1.62495355053355e-05
2.60613466977848e-06,5.06361717139008e-06,8.39864169040201e-06,1.60683935315706e-05
2.80606819512388e-06,8.39253762093765e-06,1.43569255094548e-05,2.55555313255164e-05
4.15769697733254e-06,1.68744014977641e-05,2.92145981024656e-05,5.02466965775622e-05
2.54024267391031e-06,5.55019156389644e-06,8.0201688418813e-06,1.61106030796881e-05
3.45642153805846e-06,7.4490118212493e-06,8.85262878808963e-06,1.97580621473974e-05
2.21853696901878e-06,5.08222174601896e-06,7.85489249273765e-06,1.51556512077754e-05
2.07850210562648e-06,5.21392340922977e-06,7.52628057036566e-06,1.48187060852219e-05
1.73245533381179e-06,4.9318272588441e-06,7.4010618386189e-06,1.40653444312748e-05
1.70861578913398e-06,5.43058430115085e-06,8.46422873802488e-06,1.56034288283097e-05
1.62659290437142e-06,5.54483713181721e-06,7.81234060561257e-06,1.49837706418012e-05
3.01431577314858e-06,8.65799004047052e-06,9.19314900084174e-06,2.08654548144608e-05
3.01492189103806e-06,6.57687335436854e-06,8.75622797197553e-06,1.83480232173821e-05
