power_x,power_y,power_z,power_total_xyz
4.57847214995e-05,0.000396798403600445,3.49169408586688e-05,0.000477500065958614
1.58831909353801e-06,6.99501775713721e-06,1.37078095926309e-05,2.22911464433061e-05
1.33009097635596e-06,8.13690363100705e-06,1.60289305286933e-05,2.54959251360563e-05
1.14031626376702e-06,5.47868276561062e-06,1.01914256730158e-05,1.68104247023935e-05
1.11041371572432e-06,5.56686864474886e-06,1.12327803184047e-05,1.79100626788779e-05
1.05496793801037e-06,4.78010146431061e-06,9.1673022656095e-06,1.50023716679305e-05
1.07278841238064e-06,4.66079677310892e-06,8.69418189930314e-06,1.44277670847927e-05
1.47209767027983e-06,7.1212791682174e-06,1.22024372973897e-05,2.07958141358869e-05
1.14989813039489e-06,5.08377084285261e-06,9.03082312436188e-06,1.52644920976094e-05
1.51795763301291e-06,7.74613027028067e-06,1.21051764962713e-05,2.13692643995649e-05
1.19944674372605e-06,7.15335586656036e-06,1.046978808103e-05,1.88225906913164e-05
1.20470203344195e-06,7.11838435360581e-06,1.0685677006826e-05,1.90087633938738e-05
1.41922862936369e-06,8.79149896667503e-06,1.37938100259806e-05,2.40045376220194e-05
1.16636127133275e-06,6.19123712716036e-06,9.56478858027954e-06,1.69223869787726e-05
1.11522156542365e-06,6.12362734399123e-06,9.38143936321203e-06,1.66202882726269e-05
1.2109900481119e-06,6.67100108543035e-06,9.82331194704838e-06,1.77053030805906e-05
1.13976173715899e-06,6.12411987791618e-06,9.51724723700405e-06,1.67811288520792e-05
2.99118100073642e-06,1.38727870702768e-05,1.7489137167822e-05,3.43531052388352e-05
1.69170969234488e-06,8.72663063279666e-06,1.16173250489728e-05,2.20356653741144e-05
1.70203144557484e-06,9.00038252038515e-06,1.03969761494682e-05,2.10993901154282e-05
1.74512333695479e-06,9.19137008491624e-06,1.29695268110516e-05,2.39060202329226e-05
1.23246073182962e-06,7.31408678155668e-06,9.88101513348776e-06,1.84275626468741e-05
1.15832414848198e-06,6.66334255052787e-06,9.51207266002704e-06,1.73337393590369e-05
1.54570008557542e-06,8.16366819013274e-06,1.05107508179186e-05,2.02201190936268e-05
1.4115629538027e-06,7.38493868835331e-06,9.43972830995212e-06,1.82362299521081e-05
1.08981878097764e-06,5.76279875250458e-06,8.39881016019707e-06,1.52514276936793e-05
1.18075979901616e-06,6.25581414021152e-06,9.15475845835229e-06,1.659133239758e-05
1.14446922127263e-06,6.43853549315438e-06,9.22928328320576e-06,1.68122879976328e-05
1.10606188141445e-06,6.04628969045438e-06,8.53024650618458e-06,1.56825980780534e-05
1.113002377329e-06,5.96036747998165e-06,8.52510499035517e-06,1.55984748476658e-05
