power_x,power_y,power_z,power_total_xyz
4.30662319619346e-05,0.000400629719103919,5.69128098110227e-05,0.000500608760876877
2.54463476998775e-06,7.76576541925123e-06,1.16774575625349e-05,2.19878577517738e-05
1.83506964095727e-06,6.89568035134206e-06,1.15281377220104e-05,2.02588877143097e-05
1.69057137101873e-06,7.94976105020428e-06,1.20731869466378e-05,2.17135193678609e-05
1.74274619654965e-06,7.05849884251706e-06,1.05102696778271e-05,1.93115147168938e-05
3.06158909778878e-06,1.01999097027605e-05,1.38520374317666e-05,2.7113536232316e-05
1.9190895526646e-06,7.76562542141088e-06,1.19736203731763e-05,2.16583353472518e-05
2.38702847727867e-06,1.03107396456442e-05,1.29769653097911e-05,2.56747334327139e-05
1.87747155298721e-06,7.14915163017294e-06,1.15398429779226e-05,2.05664661610827e-05
1.7563470967811e-06,6.11497475700818e-06,1.09583721010949e-05,1.88296939548841e-05
1.55521747192729e-06,6.81164604169201e-06,1.06104891800491e-05,1.89773526936684e-05
1.5748101554697e-06,6.68600087802191e-06,1.151625639184e-05,1.97770674253317e-05
1.597892867305e-06,7.18232124010927e-06,1.07411974396836e-05,1.95214115470979e-05
2.37107239756341e-06,1.20793539554806e-05,1.66921762063738e-05,3.11426025594178e-05
3.04095776218522e-06,1.21871360966222e-05,1.49709549602685e-05,3.01990488190759e-05
1.74560707861387e-06,7.67034069175329e-06,1.0406700382413e-05,1.98226481527802e-05
1.34560162866626e-06,6.62764140875109e-06,9.45714628200118e-06,1.74303893194185e-05
1.19969351506568e-06,5.90238742964774e-06,8.71269269640981e-06,1.58147736411232e-05
1.49084881379559e-06,6.81234880040942e-06,9.14005763778198e-06,1.7443255251987e-05
1.3519431036719e-06,5.71461299081061e-06,8.63222088989271e-06,1.56987769843752e-05
1.21532570645012e-06,5.5504757109225e-06,8.06217104941159e-06,1.48279724667842e-05
1.13562634748195e-06,5.17681116063304e-06,8.1061043991771e-06,1.44185419072921e-05
1.3975339763067e-06,6.17245067732687e-06,8.95612176261978e-06,1.65261064162533e-05
1.20825608059067e-06,5.50817476371132e-06,7.95816904048493e-06,1.46745998847869e-05
1.25448613903427e-06,5.19181399887192e-06,8.01701680619056e-06,1.44633169440967e-05
1.49003728020574e-06,5.3851106844564e-06,8.24418941448736e-06,1.51193373791495e-05
1.4910258412031e-06,5.92708131495879e-06,8.31484425806991e-06,1.57329514142318e-05
1.31168503998616e-06,5.63045687836019e-06,8.68247990032182e-06,1.56246218186682e-05
1.2442604986366e-06,5.18406266047702e-06,8.12653919266565e-06,1.45548623517793e-05
1.789667941637e-06,7.17651367687335e-06,9.94568073320005e-06,1.89118623517104e-05
